y,timestampOne,x,z,type
-0.03076171875,1602787883.1803284,-0.03515625,-0.9873046875,acc
-0.4268292784690857,1602787883.1839154,-0.7317073345184326,-0.12195122241973877,gyro
-0.03076171875,1602787883.2273912,-0.03662109375,-0.98681640625,acc
-0.4268292784690857,1602787883.2287345,-0.7317073345184326,-0.060975611209869385,gyro
-0.03125,1602787883.2759137,-0.03515625,-0.9873046875,acc
-0.4878048896789551,1602787883.2837365,-0.792682945728302,-0.12195122241973877,gyro
-0.02880859375,1602787883.2873676,-0.03369140625,-0.986328125,acc
-0.4878048896789551,1602787883.2906306,-0.6707317233085632,-0.060975611209869385,gyro
-0.02978515625,1602787883.3740025,-0.03466796875,-0.98681640625,acc
-0.4268292784690857,1602787883.3754501,-0.6707317233085632,-0.12195122241973877,gyro
-0.02978515625,1602787883.3790996,-0.0361328125,-0.98681640625,acc
-0.3658536672592163,1602787883.3817294,-0.7317073345184326,-0.12195122241973877,gyro
-0.029296875,1602787883.471194,-0.0361328125,-0.9853515625,acc
-0.4268292784690857,1602787883.5206459,-0.7317073345184326,-0.12195122241973877,gyro
-0.0302734375,1602787883.523404,-0.03369140625,-0.986328125,acc
-0.4268292784690857,1602787883.524996,-0.7317073345184326,-0.12195122241973877,gyro
-0.03173828125,1602787883.5489385,-0.03466796875,-0.986328125,acc
-0.4878048896789551,1602787883.6166778,-0.7317073345184326,-0.12195122241973877,gyro
-0.03271484375,1602787883.6193094,-0.03564453125,-0.98876953125,acc
-0.4268292784690857,1602787883.622318,-0.792682945728302,-0.12195122241973877,gyro
-0.02880859375,1602787883.6280744,-0.03466796875,-0.98779296875,acc
-0.4268292784690857,1602787883.6704712,-0.7317073345184326,-0.12195122241973877,gyro
-0.02978515625,1602787883.6722977,-0.0361328125,-0.98876953125,acc
-0.4268292784690857,1602787883.6743703,-0.7317073345184326,-0.12195122241973877,gyro
-0.0322265625,1602787883.6758595,-0.03662109375,-0.98779296875,acc
-0.4268292784690857,1602787883.7143703,-0.7317073345184326,-0.12195122241973877,gyro
-0.0302734375,1602787883.7635016,-0.03369140625,-0.98583984375,acc
-0.4268292784690857,1602787883.7684064,-0.7317073345184326,-0.12195122241973877,gyro
-0.02880859375,1602787883.7794933,-0.033203125,-0.9853515625,acc
